,response,zh_label,empathy_score,annotator1_score,annotator2_score,annotator3_score,,
Is there anything particularly stressful going on in your life?,你的生活中有什麼特別緊張的事情嗎？,0,0,0,0,1,,
"I have some recommendations that I think might be helpful. Please go ahead and take a look, you can select whichever protocol you feel most comfortable with.",我有一些我認為可能有用的建議。請繼續看一下，你可以選擇你覺得最舒服的任何練習。,2,2,1,2,2,,
Are you experiencing intense negative feelings as a result of fighting with the people in your life?,你是否因與生活中的人打架而感到強烈的負面情緒？,1,1,1,1,2,,
"Thanks, I understand. Do you feel you are always blaming yourself for the problems you face?",謝謝，我明白了。你是否覺得你總是因為你面臨的問題而責備自己？,1,1,1,1,2,,
"Not every protocol works for everyone, and that's okay, I would recommend  not giving up and trying again. Would you like to attempt another one together?",並非每個練習都適用於每個人，這沒關係，我建議不要放棄並再次嘗試。你想一起嘗試另一個嗎？,2,2,2,2,2,,
"Have you ever stopped to think if you feel like this because you are trying to control someone, and found that you actually are?",你有沒有停下來想一想，如果你有這樣的感覺是因為你試圖控制某人，卻發現你實際上是這樣的？,0,0,1,0,0,,
Do you think you have a need for control in your relationships lately?,你認為你最近需要控制你的人際關係嗎？,0,0,1,0,0,,
Do you feel as if you're always to blame when something goes wrong?,當出現問題時，你是否覺得自己總是要受到責備？,0,0,0,1,0,,
Do you believe you can help someone else even at the expense of your own happiness?,你相信即使犧牲自己的幸福也能幫助別人嗎？,0,0,1,0,0,,
Could you tell me if this was something that happened recently or a while ago?,你能告訴我這是最近還是不久前發生的事情？,1,1,1,0,1,,
"Generally speaking, do you feel that others are to blame for your problems?",一般來說，你覺得別人應該為你的問題負責嗎？,0,0,0,0,1,,
"Deep down, would you say that you feel good when you can control or manipulate someone else into doing what you want?",在內心深處，當你可以控製或操縱別人做你想做的事時，你會說你感覺很好嗎？,2,2,1,2,2,,
"Looking back, have you always tried to put yourself in other people's shoes?",回首過去，你是否總是試圖設身處地為他人著想？,1,1,0,1,1,,
"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Which protocol would you like to try?",我有一些我們可以嘗試的建議，但我認為我們最好嘗試你認為最合適的建議。你想嘗試哪種練習？,2,2,2,2,2,,
"Thank you for sharing. I believe that you are {}, am I correct in saying that?",感謝你的分享。我相信你是{}，我這樣說對嗎？,2,2,2,1,2,,
Would you be able to highlight the emotion that you are actually feeling right now from the ones below?,你能從下面的情緒中突出你現在真正感受到的情緒嗎？,1,1,1,2,1,,
"I understand. I believe you are feeling {}, would you say that is correct?",我明白。我相信你會感到{}，你會說這是正確的嗎？,0,0,0,0,1,,
"Do you feel, or would like to be, in control of others?",你覺得或想要控制他人嗎？,1,1,0,1,1,,
Choose whichever protocol you feel is best.,選擇你認為最好的練習。,0,0,1,0,0,,
"Oh, I am very sorry to hear it, sometimes going through a protocol can bring back uncomfortable memories and I understand it can be tough. Would you like to try again with a different protocol?",哦，我很遺憾聽到這個消息，有時通過練習會讓人想起不舒服的回憶，我知道這可能很艱難。你想使用不同的練習再試一次嗎？,2,2,1,2,2,,
"Was the event that caused these feelings recent, or was it in the distant past?",引起這些感覺的事件是最近發生的，還是發生在遙遠的過去？,1,1,0,1,1,,
I'm sorry to hear about that. Did this happen recently or a while ago?,我很遺憾聽到這個消息。這是最近發生的還是不久前發生的？,1,1,1,1,1,,
"Taking all you have said into consideration, I believe that you are feeling {}, is this the case? Please feel free to correct me if not.",考慮到你所說的一切，我相信你有感覺{}，是這樣嗎？如果沒有，請隨時糾正我。,2,2,1,2,2,,
"I have some recommendations I think could help you out if you wish. Of the protocols below, is there one you would like to try now?",如果你願意，我有一些建議我認為可以幫助你。在以下練習中，你現在想嘗試哪一種？,2,2,2,1,2,,
Are you always trying blame yourself for negative situations and events?,你是否總是試圖為消極的情況和事件責備自己？,0,0,0,1,0,,
"Do you tend to take things personally when facing a challenging or confrontational situation, always placing all the blame on yourself?",面對具有挑戰性或對抗性的情況時，你是否傾向於將事情個人化，總是將所有責任都歸咎於自己？,1,1,1,2,1,,
"Thinking about it, have you truly considered other viewpoints and perspectives presented to you by other people in the past?",想一想，你有沒有真正考慮過過去別人給你的其他觀點和觀點？,1,1,1,1,2,,
Do you think this helped you feel better?,你認為這有助於你感覺更好嗎？,0,0,0,0,1,,
"Did you try out Protocol 11, and if so, did it make you feel worse?",你是否嘗試過 Protocol 11，如果是，是否讓你感覺更糟？,0,0,0,0,0,,
Do you reckon that thinking back to the event now could damage you?,你認為現在回想這件事會對你造成傷害嗎？,1,1,0,1,1,,
Shall we try a different protocol and see how you feel after that?,我們要不要嘗試不同的練習，然後看看你的感覺如何？,1,1,1,1,1,,
"Ok, thank you, let's see if we can get to the bottom of this. I'm going to ask you a few more questions if you do not mind.",好的，謝謝你，讓我們看看能不能把這件事弄清楚。如果你不介意，我會再問你幾個問題。,1,1,1,2,1,,
"I see, thanks. And was this event, or events, distant or recent?",我明白了，謝謝。這個事件或事件是遙遠的還是最近的？,0,0,1,0,0,,
"Do you feel responsible for saving another person, a loved one perhaps?",你是否覺得有責任拯救另一個人，也許是一個親人？,1,1,1,1,1,,
Am I correct in assuming that you are feeling {}?,我假設你感覺 {} 是否正確？,0,0,0,0,0,,
"Thank you, let's reflect on this feeling of yours a bit longer. Would you say you are a victim and are you blaming someone for how negative you feel?",謝謝，讓我們再好好想想你的這種感覺。你會說你是一個受害者，你會因為你的消極情緒而責備某人嗎？,2,2,1,2,2,,
Great! Now could you please try to go through this protocol and press 'continue' when you're finished.,偉大的！現在請你嘗試通過此練習並在完成後按“繼續”。,2,2,1,2,2,,
Thank you. I'd like to ask you some more questions which might help me understand.,謝謝你。我想再問你一些可能有助於我理解的問題。,1,1,1,0,1,,
Could it be that you are trying to take charge of someone else right now?,難道你現在正試圖控制別人？,1,1,2,1,1,,
"Please tell me, do you feel that it is someone else's fault that you are feeling this way?",請告訴我，你覺得你有這種感覺是別人的錯嗎？,1,1,0,1,1,,
"Would it be accurate to say that you are currently experiencing difficult circumstances in your personal life, for instance in relationships with either loved ones or friends?",說你目前在個人生活中遇到困難是否準確，例如與親人或朋友的關係？,2,2,1,2,2,,
What emotion would you say you are feeling at the moment?,你會說你此刻的心情是什麼？,1,1,1,2,1,,
Is this a particularly challenging period in your life at the moment?,這是你目前生活中特別具有挑戰性的時期嗎？,0,0,0,1,0,,
"Thank you, I want to understand what is happening so I am better equipped to help. Would you say that rescuing others make you happy?",謝謝，我想了解正在發生的事情，因此我可以更好地提供幫助。你會說拯救別人會讓你快樂嗎？,2,2,1,2,2,,
"I'm sorry that happened to you, it's hard to go through something distressing. Did this occur recently or a while back?",對不起，發生在你身上，很難經歷令人痛苦的事情。這是最近發生的還是不久前發生的？,2,2,1,2,2,,
"I'm looking forward to seeing you again soon, take care.",我期待很快再次見到你，保重。,1,1,1,1,2,,
"I really appreciate you speaking with me, it takes courage to talk about one's feelings. Please come back whenever you feel like talking more.",真的很感謝你跟我說話，說出自己的感受是需要勇氣的。每當你想多說話時，請回來。,2,2,2,2,2,,
How are you feeling now?,你現在感覺如何？,0,0,1,0,0,,
May I ask if it was something recent or in the past that made this feeling come up?,請問是最近的事情還是過去的事情讓這種感覺出現了？,1,1,2,1,1,,
Are you going through any personal trauma in your life?,你在生活中是否經歷過任何個人創傷？,0,0,0,1,0,,
I have some recommendations for you. Please take a look and choose any protocol that you'd like to try.,我有一些建議給你。請查看並選擇你想嘗試的任何練習。,0,0,1,0,0,,
"When something goes wrong, do you always tend to blame yourself regardless of whether you really made a mistake?",當出現問題時，你是否總是傾向於責備自己，無論你是否真的犯了錯誤？,1,1,1,1,1,,
Have any of these feelings been plaguing you recently:,最近有沒有這些感覺困擾著你：,0,0,0,0,0,,
It is important to understand how long you have been dealing with this issue. May I ask if this was a recent or distant event?,了解你處理此問題已有多長時間很重要。請問這是最近發生的事件還是遙遠的事件？,2,2,2,2,1,,
Do you think it is your responsibility to save someone else?,你認為拯救別人是你的責任嗎？,0,0,1,0,0,,
Do you feel like this is a personal crisis that you're experiencing?,你覺得這是你正在經歷的個人危機嗎？,0,0,0,1,0,,
I'm sorry to hear that. Is there one particular thing that caused this feeling?,我很遺憾聽到這個消息。是不是有什麼特別的事情導致了這種感覺？,2,2,1,2,2,,
Have you had any recent major issues with friends or family that may have caused these negative feelings?,你最近是否與朋友或家人發生過任何可能導致這些負面情緒的重大問題？,2,2,0,2,2,,
Could you please tell me more about what happened. Was this event distant or recent?,你能告訴我更多關於發生的事情嗎？這個事件是遙遠的還是最近的？,2,2,2,1,2,,
"If I'm understanding correctly, you would identify as being {}, is that a fair assessment?",如果我理解正確，你會認為是 {}，這是一個公平的評估嗎？,1,1,1,1,0,,
I'm very sorry to hear that. Would you like to give another protocol a try?,我很遺憾聽到這個消息。你想試試另一個練習嗎？,1,1,1,1,2,,
Here are my thoughts on which protocols would be best suited for you. Please select the protocol that you would like to try:,以下是我對哪些練習最適合你的想法。請選擇你想嘗試的練習：,1,1,1,1,1,,
Would you say you feel better or worse after taking the protocol?,你會說你在接受練習後感覺更好還是更糟？,1,1,1,1,0,,
"Would it be fair to say that other people are often responsible for your negative feelings and thoughts, that you are somewhat helpless to this?",是否可以公平地說，其他人經常對你的負面情緒和想法負責，你對此有些無助？,2,2,1,2,2,,
"Thank you for sharing. I believe that you are {}, am I correct in saying that?",感謝你的分享。我相信你是{}，我這樣說對嗎？,1,1,2,1,1,,
"That's great, I'm glad you are willing to give this a try, hopefully you will find it very helpful. Please go through the protocol when you're ready and if you can press 'continue' once done, that would be great.",太好了，很高興你願意嘗試一下，希望你會發現它很有幫助。請在準備好後通過練習，如果完成後可以按“繼續”，那就太好了。,2,2,2,2,2,,
"I would appreciate if you could attempt the selected protocol now. Once you feel ready, come back and press 'continue'.",如果你現在可以嘗試選擇的練習，我將不勝感激。一旦你覺得準備好了，回來並按“繼續”。,1,1,1,1,2,,
"Thank you, I see. Is it possible that you are having a hard time trying to control someone else?",謝謝，我明白了。你有沒有可能很難控制別人？,1,1,2,1,1,,
"Fantastic, I am so glad to hear it. I have a protocol that might enhance this positive feeling, would you like to try it?",太棒了，我很高興聽到它。我有一個練習可以增強這種積極的感覺，你想試試嗎？,2,2,2,2,1,,
Are you facing any difficulties with loved ones perhaps?,你可能與親人有任何困難嗎？,0,0,0,0,1,,
"I would just like to clarify you are feeling {}, is that correct?",我想澄清一下你的感受{}，對嗎？,0,0,0,0,0,,
Have you considered all the viewpoints presented?,你考慮過所有提出的觀點嗎？,0,0,0,0,0,,
"I'm so sorry you're feeling this way. I know this may be difficult to talk about, but was there a specific event that caused this?",我很抱歉你有這種感覺。我知道這可能很難談論，但是否有特定事件導致了這種情況？,2,2,1,2,2,,
"I am sorry you are experiencing this negativity right now. If I may ask, and please be honest, would you say that you have always given full consideration to other people's viewpoints when these were presented to you?",很抱歉，你現在正在經歷這種消極情緒。如果我可以問，請老實說，你是不是說在向你提出這些觀點時，你總是充分考慮到其他人的觀點？,2,2,2,1,2,,
Welcome back! How are you feeling after having taken the protocol?,歡迎回來！接受練習後感覺如何？,2,2,2,1,2,,
Do you feel like others are responsible for your negative feelings?,你覺得別人要為你的負面情緒負責嗎？,0,0,0,1,0,,
"Do you think something recent caused this feeling, or was it something more distant?",你認為最近的事情引起了這種感覺，還是更遙遠的事情？,1,1,1,0,1,,
Do you feel that your recent sad emotions may be attributed to attempting Protocol 6?,你覺得你最近的悲傷情緒可能歸因於嘗試練習 6 嗎？,1,1,1,1,2,,
Thanks for your time today! Hope to hear from you soon!,感謝你今天的時間！希望早日收到你的消息！,0,0,1,0,0,,
"Thank you very much for sharing this with me, I know that it is not an easy thing to do. If you feel up to it, I would like to ask you some more questions so that I can get a better understanding of your situation.",非常感謝你與我分享這個，我知道這不是一件容易的事。如果你覺得可以，我想再問你一些問題，以便更好地了解你的情況。,2,2,2,2,2,,
Do you think someone else's problem should be your problem to solve?,你認為別人的問題應該是你要解決的問題嗎？,0,0,0,0,0,,
Have you taken what is going on in your life and looked at it from different perspectives?,你有沒有把生活中正在發生的事情從不同的角度看待它？,0,0,0,0,0,,
"I wonder, did trying Protocol 6 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise.",我想知道，最近嘗試練習 6 是否會引發任何不好的感覺？如果發生這種情況，我希望你不會因為那個練習而受苦。,2,2,1,2,2,,
Did you by any chance try Protocol 6 and if so did this trigger any negative emotions from the past?,你有沒有嘗試過練習 6，如果是的話，這是否會引發過去的負面情緒？,1,1,1,1,1,,
Did this event happen recently or is it something that has been on your mind for some time?,這件事是最近發生的，還是你一直在想的事情？,1,1,1,0,1,,
"I really appreciate your answers to my questions so far. I am going to go through some queries I have, so that I'm fully aware of your situation.",到目前為止，我非常感謝你對我的問題的回答。我將處理我的一些疑問，以便我完全了解你的情況。,1,1,2,1,1,,
"Were you able to attempt Protocol 6, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced in the past?",你是否能夠嘗試練習 6，如果可以，你是否覺得該練習帶來了與你過去經歷的相同的困難情緒？,1,1,1,1,0,,
"Do you feel isolated from those around you, or that your safety is somehow in danger?",你是否感到與周圍的人隔絕，或者你的安全處於某種危險之中？,0,0,1,0,0,,
"Thank you for staying with me on this. In the past, have you ever felt or acted on any of the following emotions towards someone:",謝謝你在這件事上和我在一起。過去，你是否曾對某人有以下任何情緒或行為：,1,1,2,1,1,,
Can you let me know if you have experienced any of the following emotions or wanted to express them towards another person:,如果你經歷過以下任何情緒或想向另一個人表達這些情緒，你能否告訴我：,0,0,1,0,0,,
Does your current worry revolve around someone you are trying to help?,你目前的擔憂是否圍繞著你試圖幫助的人？,1,1,1,0,2,,
"Was this event a long time ago, or perhaps something that happened more recently to you?",這件事是很久以前的事，還是最近發生在你身上的事情？,1,1,1,1,2,,
Have you tried Protocol 6 recently and did it bring back some of the tough emotions from the past?,你最近是否嘗試過 Protocol 6，它是否帶回了過去的一些艱難情緒？,1,1,1,0,1,,
Did you do Protocol 6 and did it make you feel worse?,你是否執行了練習 6，是否讓你感覺更糟？,0,0,1,0,0,,
"Did you attempt Protocol 6 and, if so, did you have negative thoughts about the past which caused your mind to wander in that direction?",你是否嘗試過練習 6，如果是，你是否對過去有負面想法，導致你的思緒在那個方向徘徊？,1,1,2,1,1,,
"Do you feel, lately, like people are 'out to get you'?",最近，你是否覺得人們“要抓你”？,0,0,0,1,0,,
Have you at any time expressed or felt any of the following emotions towards someone:,你是否在任何時候對某人表達或感受到以下任何情緒：,0,0,0,0,1,,
Have you felt any of these emotions strongly toward someone:,你是否對某人有強烈的以下情緒：,0,0,0,0,1,,
Do you feel as though others purposely behave in a way that makes you feel bad?,你是否覺得別人故意做出讓你感覺不好的行為？,1,1,0,1,1,,
"Please tell me, was this caused by a specific event/s?",請告訴我，這是由特定事件引起的嗎？,1,1,1,0,1,,
"Have you, by any chance, felt any of these strong feelings towards anyone recently:",你最近有沒有對任何人有過以下強烈的感情：,1,1,1,1,2,,
"Could your current mood depend on the fact that you were unable to help a loved one, and you feel guilty because of this?",你現在的情緒是否取決於你無法幫助親人這一事實，並因此而感到內疚？,1,1,2,1,1,,
Are you having strained relations with the people in your life and that is causing you great distress?,你是否與生活中的人關係緊張，這給你帶來了很大的痛苦？,1,1,0,1,1,,
Do you think you're feeling better or worse than before?,你覺得你感覺比以前好還是壞了？,0,0,0,0,1,,
Do you believe it is someone else's fault that you are feeling so low?,你認為自己情緒低落是別人的錯嗎？,0,0,0,1,0,,
"It's a shame that one didn't work for you, but we will find a protocol that does work. Would you like to attempt another one which hopefully will be much more helpful to you?",很遺憾，一個不適合你，但我們會找到一個有效的練習。你想嘗試另一種希望對你更有幫助的方法嗎？,2,2,1,2,2,,
"Do you think there is another way that you can view this situation, and could other people's advice help you find it?",你是否認為有另一種方式可以查看這種情況，其他人的建議可以幫助你找到它嗎？,2,2,1,2,2,,
Do you consider yourself to be someone else's saviour?,你認為自己是別人的救星嗎？,0,0,0,0,1,,
"Thank you for being open and sharing with me. You seem like you're {} today, would you say that too?",感謝你開放並與我分享。你今天看起來像{}，你也會這麼說嗎？,2,2,2,2,2,,
Sorry to hear you are feeling worse. Would you like to continue and do another protocol?,很抱歉聽到你感覺更糟了。你想繼續做另一個練習嗎？,2,2,1,2,2,,
"Is it a controlling feeling that you're experiencing perhaps, like wanting to control a situation or person?",你是否正在體驗一種控制感，比如想要控制一個情況或一個人？,2,2,1,2,2,,
"When attempting to revisit your trauma, as is requested in Protocol 6, did you find you were emotionally uncomfortable and have difficulty proceeding?",當嘗試按照練習 6 的要求重新審視你的創傷時，你是否發現自己情緒上不舒服並且難以繼續進行？,2,2,1,2,2,,
"Do you, even if unfairly, tend to always blame yourself for everything bad that happens in your life?",即使不公平，你是否總是傾向於為生活中發生的一切壞事責備自己？,1,1,1,1,2,,
"I really appreciate your effort, thank you for taking part. Let's talk again soon.",我非常感謝你的努力，感謝你的參與。讓我們很快再談。,2,2,1,2,2,,
"I wonder if you always feel like you caused a problem, even when it is not really your fault?",我想知道你是否總是覺得自己造成了問題，即使這並不是你的錯？,1,1,2,1,1,,
Did anything happen in your personal life to cause these feelings?,你的個人生活中是否發生過任何事情導致這些感覺？,0,0,0,0,1,,
I would like to better understand why you are experiencing this negative feeling right now. Do you feel that you need to save someone else?,我想更好地理解為什麼你現在會經歷這種消極的感覺。你覺得你需要拯救別人嗎？,1,1,2,1,1,,
Is there anything difficult or traumatic that you are going through right now in your personal life?,你現在在個人生活中是否正在經歷任何困難或創傷？,1,1,1,1,1,,
Do you listen to others?,你聽別人的嗎？,0,0,0,0,0,,
"That's okay, thank you for letting me know. Is there anyone in particular who you are blaming for your sadness?",沒關係，謝謝你讓我知道。有沒有人特別責備你的悲傷？,2,2,1,2,2,,
Wonderful! How about I reccomend a protocol to you to make sure you treasure this positive feeling?,精彩的！不如我向你推薦一個練習，以確保你珍惜這種積極的感覺？,2,2,2,1,2,,
Is this because of of something that happened?,這是因為發生了什麼事嗎？,0,0,0,0,0,,
"In all honesty, do you think that you are always available to consider alternatives to your point of view?",老實說，你認為你總是可以考慮替代你的觀點嗎？,1,1,1,0,1,,
Would you like to try a different protocol?,你想嘗試不同的練習嗎？,0,0,0,1,0,,
"We've come to the end of the session, I'd like to thank you for taking the time to work through this with me. See you soon.",我們已經到了會議的尾聲，我想感謝你抽出時間和我一起解決這個問題。再見。,2,2,2,1,2,,
"Then I wonder if you feel that you're at fault. When something does not work out, do you tend to harshly blame and accuse yourself?",然後我想知道你是否覺得自己有錯。當事情不成功時，你是否傾向於嚴厲地責備和指責自己？,2,2,1,2,2,,
"Are you having any thoughts that you could be controlling someone else, or trying to control them?",你有任何想法，你可以控制別人，或試圖控制他們？,0,0,1,0,0,,
Do you feel that everything and everyone is against you right now?,你覺得現在所有的人和所有人都在反對你嗎？,0,0,0,0,1,,
"When things go wrong for you, do you always put the blame on yourself, or do you always accuse yourself of a mistake?",當你遇到問題時，你是總是把責任歸咎於自己，還是總是指責自己犯了錯誤？,1,1,1,0,1,,
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you notice that you're always blaming yourself for anything that goes wrong?",偶爾為自己的問題責備自己是正常的，但我們應該注意不要讓這成為一種破壞性的習慣。你有沒有註意到你總是因為任何事情出錯而責備自己？,2,2,2,2,1,,
"I understand, thank you. Was this event recent or more distant?",我明白了，謝謝。這個事件是最近的還是更久遠的？,1,1,2,1,1,,
Do you feel obligated to control other people's attitudes?,你覺得有義務控制別人的態度嗎？,0,0,1,0,0,,
May I ask if you believe that it is your own responsibility to rescue another person from their problems?,請問你是否相信將他人從他們的問題中解救出來是你自己的責任？,1,1,2,1,1,,
How do you feel after taking this protocol? ,服用此方案後你感覺如何？,1,1,1,0,1,,
Thank you for sharing. I'd like to ask you some questions so I can understand a bit more.,感謝你的分享。我想問你一些問題，以便我能理解更多。,1,1,0,1,1,,
Here are my suggestions. Do you want to try any of them?,以下是我的建議。你想嘗試其中的任何一個嗎？,0,0,0,0,1,,
Could you please express how you feel now that you've gone through this protocol?,你能表達一下你現在已經完成了這個練習的感受嗎？,1,1,1,2,1,,
Select 'continue' when you are ready.,準備好後選擇“繼續”。,0,0,0,0,0,,
"Do you see yourself as the victim, or do you blame someone else for your feelings?",你是否將自己視為受害者，還是將自己的感受歸咎於他人？,0,0,1,0,0,,
"How are you feeling now you have completed the protocol, if I may ask? I hope you feel better, but it's ok if you feel worse, just tell me and I'll try to help.",如果我可以問一下，你現在完成了練習，感覺如何？我希望你感覺好些，但如果你感覺更糟也沒關係，請告訴我，我會盡力提供幫助。,2,2,2,2,2,,
"You may be experiencing a lot of strong feelings right now. Have you been feeling any of the following emotions, either on the inside or expressed them towards another person:",你現在可能正在經歷很多強烈的感情。你是否曾在內心或向他人表達過以下任何情緒：,2,2,1,2,2,,
"I'm really pleased we managed to have this time together, I hope it helped you. You can come back whenever you feel like talking some more.",我真的很高興我們能一起度過這段時間，我希望它對你有所幫助。每當你想多談一些時，你都可以回來。,2,2,2,2,2,,
Please find my recommendations below. You can select the protocol you prefer.,請在下面找到我的建議。你可以選擇你喜歡的練習。,0,0,1,0,0,,
I am sorry to hear you're not feeling great today. Is it something specific that has caused you to feel this way?,我很遺憾聽到你今天感覺不舒服。是什麼特定的東西讓你有這種感覺嗎？,2,2,1,2,2,,
Do you feel that you would like to look at another protocol?,你覺得你想看看另一個練習嗎？,1,1,1,1,0,,
Can you tell me if this upseting event was from some time ago or it happened recently?,你能告訴我這個令人不安的事件是前一段時間發生的還是最近發生的？,1,1,1,1,1,,
Do you always feel responsible for the way things turn out in your life?,你是否總是對生活中的事情負責？,0,0,0,1,0,,
I'm sorry that this protocol wasn't able to help you. Would you like to attempt another?,很抱歉，此練習無法為你提供幫助。你想嘗試另一個嗎？,1,1,1,1,2,,
"Do you feel that if others changed the way they behave, it would make your life easier?",你覺得如果別人改變他們的行為方式，你的生活會更輕鬆嗎？,1,1,1,1,1,,
"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?",有時我們生氣是因為我們想幫助別人，但我們覺得自己做不到，或者他們不讓。你覺得你的生活中有一個人是你想要拯救或拯救的嗎？,2,2,2,2,2,,
"Thank you for sharing this. Without going into too much detail, was this event recent or has been this way for a while?",感謝你分享這一點。無需過多詳細說明，此事件是最近發生的還是已經有一段時間了？,2,2,1,2,2,,
"Thank you, I understand. Would you say that this negative emotion was triggered by a recent attempt at Protocol 6?",謝謝，我明白了。你會說這種負面情緒是由最近對練習 6 的嘗試引發的嗎？,2,2,1,2,2,,
"If you have to be honest with yourself, do you feel that you can, or want to, control someone?",如果你必須對自己誠實，你覺得你可以或想要控制某人嗎？,1,1,0,1,1,,
"Based on what you've told me, I've selected some protocols that may be helpful to you. You can select the protocol you prefer and it will be displayed to you so that you can attempt it.",根據你告訴我的內容，我選擇了一些可能對你有幫助的練習。你可以選擇你喜歡的練習，它將顯示給你，以便你嘗試。,2,2,2,1,2,,
Did you try to complete Protocol 6 and it resulted in reawakening some bad feelings due to things that happened in the past?,你是否嘗試完成練習 6 並導致由於過去發生的事情而重新喚醒了一些不好的感覺？,1,1,1,0,1,,
"Thank you for sharing. Can you please tell me if this event that happened and caused your anxiety was in the recent or distant past? The more I understand, the more I can support you.",感謝你的分享。你能告訴我這件事發生並引起你的焦慮是最近還是遙遠的過去？我越了解，就越能支持你。,2,2,2,2,2,,
Do you ever worry that you might be taking your negative feelings out on someone else?,你有沒有擔心你可能會把你的負面情緒發洩到別人身上？,1,1,1,1,2,,
"Thank you for your answer. I would now like to ask you if you feel that you are the victim, and someone else is to blame for making you feel this way.",謝謝你的回答。我現在想問你，你是否覺得自己是受害者，而讓你有這種感覺的應該歸咎於其他人。,1,1,1,1,2,,
"Are you trying to be someone else's saviour, perhaps?",也許你想成為別人的救世主？,0,0,1,0,0,,
"I sympathise with the feeling of sadness you are experiencing right now. I wonder, is there someone in your life who you feel is to blame for your sadness?",我對你現在所經歷的悲傷感到同情。我想知道，在你的生活中，你覺得應該為你的悲傷負責嗎？,2,2,2,2,2,,
"I feel that you are feeling quite {} today, is that right?",我覺得你今天感覺很{}，對嗎？,0,0,0,0,1,,
"Thanks so much for talking with me, I really hope it's done some good. I look forward to another session soon.",非常感謝你與我交談，我真的希望它做得很好。我期待很快再舉行一次會議。,2,2,2,2,2,,
Do you ever find yourself blaming or controlling others around you?,你有沒有發現自己責備或控制周圍的人？,1,1,1,0,1,,
Are there some things in your life right now that you are struggling with in particular?,你現在生活中是否有一些事情讓你特別掙扎？,0,0,0,0,1,,
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you think it's always your fault when something goes wrong in your life?",偶爾為自己的問題責備自己是正常的，但我們應該注意不要讓這成為一種破壞性的習慣。當你的生活出現問題時，你認為總是你的錯嗎？,2,2,2,2,2,,
"I think if we can get to the root of these feelings, we could get you feeling much better. Do you think you would like to try any of the following protocols? Have a look through and let me know if there is something you would like to try.",我想如果我們能找到這些感覺的根源，我們就能讓你感覺好多了。你認為你想嘗試以下任何練習嗎？瀏覽一下，讓我知道是否有你想嘗試的東西。,2,2,2,2,2,,
Many thanks for your cooperation. See you later!,非常感謝你的合作。回頭見！,0,0,1,0,0,,
That is great to hear! Would you like to try a protocol to match your mood? I hope it could inspire you and brighten your day even more.,很高興聽到！你想嘗試一種與你的心情相匹配的練習嗎？我希望它能激發你的靈感，讓你的一天更加美好。,2,2,1,2,2,,
Was Protocol 6 too difficult for you?,練習 6 對你來說太難了嗎？,0,0,0,0,1,,
Did this event happen recently or a while back?,這個事件是最近發生的還是不久前發生的？,0,0,0,0,0,,
Brilliant! Can we have a look at some protocol that may be good to try right now?,傑出的！我們可以看看一些現在可以嘗試的練習嗎？,1,1,1,2,1,,
"I would like to know if you think this negative feeling has created a larger problem for you. Has this feeling led to tensions between you and your loved ones, or has it triggered a personal crisis?",我想知道你是否認為這種消極的感覺給你帶來了更大的問題。這種感覺是否導致了你和你所愛的人之間的緊張關係，還是引發了個人危機？,2,2,1,2,2,,
Do you think you should sacrifice yourself for others?,你認為你應該為別人犧牲自己嗎？,0,0,0,0,1,,
"Without being intrusive, may I ask if there is someone in your life who you feel is not behaving in a way that you wish they would?",在不打擾的情況下，我可以問一下你的生活中是否有人你認為他們的行為方式與你希望的方式不同？,2,2,1,2,2,,
"I can see that you're feeling anxious, and I'd like to help. Is there something specific that caused this feeling?",我看得出來你很焦慮，我想幫忙。是不是有什麼特別的東西導致了這種感覺？,2,2,2,2,2,,
Do you feel a weight on your shoulders to save others?,你是否感到肩上的重擔要拯救他人？,0,0,1,0,0,,
"Are you trying to help too much, perhaps, and feel that the person you're trying to help just won't listen to you?",你是否試圖幫助太多，也許，並覺得你試圖幫助的人就是不聽你的？,1,1,2,1,1,,
"Has the protocol helped you to feel better, or do you feel worse?",該練習是否幫助你感覺更好，或者你感覺更糟？,0,0,1,0,0,,
Please select the protocol that you would like to attempt now.,請選擇你現在想嘗試的練習。,0,0,0,0,0,,
"In other conversations you've had with people, have you fully considered the points they've tried to make?",在你與人們進行的其他對話中，你是否充分考慮過他們試圖提出的觀點？,1,1,0,1,1,,
"Have you already tried thinking over that again by doing Protocol 6, and if so how was that, did it reignite uncomfortable emotions?",你是否已經嘗試通過執行練習 6 再次考慮這一點，如果是這樣，那是怎麼回事，它是否重新點燃了不舒服的情緒？,0,0,1,0,0,,
"I am sorry to hear this session wasn't helpful. As you know, there are more protocols on the list, do you think you might like to try another and see how that goes?",我很遺憾聽到這次會議沒有幫助。如你所知，列表中還有更多練習，你認為你是否願意嘗試另一種練習，看看效果如何？,2,2,1,2,2,,
